scheme,orig,replacement
senscritique,Video Game Music,
senscritique,Marches,
senscritique,Mariachi,
senscritique,Special Effects,
senscritique,Electroclash,
senscritique,Indietronica,
senscritique,Persian Classical,
senscritique,Turntablism,
senscritique,Boogie rock,
senscritique,Groove metal,
senscritique,Hyphy,
senscritique,Romani,
senscritique,Go-Go,
senscritique,Britpop,
senscritique,Dub Poetry,
senscritique,Axé,
senscritique,Chinese Classical,
senscritique,East Coast Blues,
senscritique,Tejano,
senscritique,Americana,
senscritique,City Pop,
senscritique,Djent,
senscritique,Electroacoustic,
senscritique,Psychedelic Pop,
senscritique,Batucada,
senscritique,Hard Techno,
senscritique,Early,
senscritique,Midwest Emo,
senscritique,Andalusian Classical,
senscritique,Chamber Folk,
senscritique,Cloud Rap,
senscritique,Nitzhonot,
senscritique,Instrumental Hip Hop,
senscritique,Norteño,
senscritique,Tropical House,
senscritique,Boogie,
senscritique,Neoclassical Darkwave,
senscritique,Ranchera,
senscritique,Rebetiko,
senscritique,Alternative R&B,
senscritique,Chamber Pop,
senscritique,Coldwave,
senscritique,Karaoke,
senscritique,Pachanga,
senscritique,Bassline,
senscritique,Deep Techno,
senscritique,Education,
senscritique,Experimental Hip Hop,
senscritique,Sephardic,
senscritique,Skiffle,
senscritique,Therapy,
senscritique,Bachata,
senscritique,Bhangra,
senscritique,DJ Battle Tool,
senscritique,Overtone Singing,
senscritique,Soukous,
senscritique,Cape Jazz,
senscritique,Progressive Breaks,
senscritique,Bossanova,
senscritique,Miami Bass,
senscritique,East Coast Hip Hop,
senscritique,Psychedelic Folk,
senscritique,Vallenato,
senscritique,West Coast Hip Hop,
senscritique,Alt-Pop,
senscritique,Chillwave,
senscritique,Skweee,
senscritique,Canzone Napoletana,
senscritique,Compas,
senscritique,Enka,
senscritique,Ghetto House,
senscritique,J-Core,
senscritique,Lambada,
senscritique,Nueva Trova,
senscritique,Ottoman Classical,
senscritique,Ambient Pop,
senscritique,Beguine,
senscritique,Griot,
senscritique,Kwaito,
senscritique,Piedmont Blues,
senscritique,Pop Soul,
senscritique,Serial,
senscritique,Sound Art,
senscritique,UK Bass,
senscritique,Atmospheric Black Metal,
senscritique,Bubblegum,
senscritique,Dark Folk,
senscritique,Funk Rock,
senscritique,Industrial Hip Hop,
senscritique,Steel Band,
senscritique,Symphonic Prog,
senscritique,Britcore,
senscritique,Forro,
senscritique,Mento,
senscritique,Minneapolis Sound,
senscritique,Carnatic,
senscritique,Guaracha,
senscritique,Promotional,
senscritique,Thai Classical,
senscritique,Abstract Hip Hop,
senscritique,Italo House,
senscritique,Kayōkyoku,
senscritique,Progressive Pop,
senscritique,Schranz,
senscritique,Art Punk,
senscritique,Bleep,
senscritique,Doomcore,
senscritique,Glitch Hop,
senscritique,Hands Up,
senscritique,Industrial Rock,
senscritique,Trova,
senscritique,Twelve-tone,
senscritique,Future Bass,
senscritique,Ghettotech,
senscritique,Gogo,
senscritique,Luk Thung,
senscritique,Mizrahi,
senscritique,Roots Rock,
senscritique,Swamp Rock,
senscritique,Technical Death Metal,
senscritique,Timba,
senscritique,Anison,
senscritique,Charanga,
senscritique,Folktronica,
senscritique,Piano Rock,
senscritique,Quechua,
senscritique,Arabic music,
senscritique,Corrido,
senscritique,Dance-Punk,
senscritique,Danzon,
senscritique,Funeral Doom Metal,
